DATE,GDP_PAYEMS
1947-01-01,0.00557965525947347885
1947-04-01,0.00564312880905466709
1947-07-01,0.00568822780203784571
1947-10-01,0.00585022699689845822
1948-01-01,0.00596419689467434410
1948-04-01,0.00610064158451255225
1948-07-01,0.00618226056182260562
1948-10-01,0.00621595287656672129
1949-01-01,0.00619293906004047673
1949-04-01,0.00617724627137140778
1949-07-01,0.00626188566846145034
1949-10-01,0.00626777991072461087
1950-01-01,0.00645057692748835822
1950-04-01,0.00649957519116397621
1950-07-01,0.00670244199183105936
1950-10-01,0.00684665042110213330
1951-01-01,0.00707034616112150318
1951-04-01,0.00718321899956212598
1951-07-01,0.00732779270553437897
1951-10-01,0.00740525386771882463
1952-01-01,0.00743584979665985426
1952-04-01,0.00744908896034297964
1952-07-01,0.00754380571779895481
1952-10-01,0.00764556048055516557
1953-01-01,0.00772058823529411765
1953-04-01,0.00777108672398082485
1953-07-01,0.00776212274339615164
1953-10-01,0.00773773773773773774
1954-01-01,0.00782187449327063402
1954-04-01,0.00788974353742884541
1954-07-01,0.00801686899911970029
1954-10-01,0.00814429004496347989
1955-01-01,0.00832578821351683065
1955-04-01,0.00835774804022487925
1955-07-01,0.00842935112189205579
1955-10-01,0.00848301652812493945
1956-01-01,0.00844743604495071530
1956-04-01,0.00851242188690748362
1956-07-01,0.00862677736425231415
1956-10-01,0.00872946786768601923
1957-01-01,0.00887137821177446415
1957-04-01,0.00889541118699554101
1957-07-01,0.00905201658499811534
1957-10-01,0.00904888719802168537
1958-01-01,0.00906855627190180248
1958-04-01,0.00927950383701988185
1958-07-01,0.00949510320340239572
1958-10-01,0.00965296398464476552
1959-01-01,0.00969314216355636474
1959-04-01,0.00979520143508483444
1959-07-01,0.00981278726504988603
1959-10-01,0.00985239096848649554
1960-01-01,0.00998437930717633006
1960-04-01,0.00994976532707538868
1960-07-01,0.01006117785803788605
1960-10-01,0.01002965708989805375
1961-01-01,0.01017824514300630197
1961-04-01,0.01036136515726076288
1961-07-01,0.01046987285793255943
1961-10-01,0.01063020909489691475
1962-01-01,0.01079865016872890889
1962-04-01,0.01083345318567524809
1962-07-01,0.01091416908368245784
1962-10-01,0.01094000927875521930
1963-01-01,0.01107553848069295484
1963-04-01,0.01115899537249637924
1963-07-01,0.01133030020903964727
1963-10-01,0.01142757417102966841
1964-01-01,0.01162843082894372054
1964-04-01,0.01172236857964426537
1964-07-01,0.01181345383238127718
1964-10-01,0.01180846746922764777
1965-01-01,0.01202776151852161552
1965-04-01,0.01210978835978835979
1965-07-01,0.01225276430333023013
1965-10-01,0.01246694188221634522
